Concentracion,Tipo,N_low,errN_low,N_high,errN_high,Q,errQ,Z_score,Detectable,Cuantificable
0,FINO,19186.9,302.809,8710.2,150.989,2.20281,0.0516401,0,NO,NO
0.2,FINO,9054.42,206.358,4089.82,104.059,2.21389,0.0756225,0.121032,NO,NO
0.4,FINO,8840.25,203.292,4108.82,104.15,2.15153,0.0736356,-0.570144,NO,NO
0.6,FINO,8523.79,199.961,4073.45,104.128,2.09252,0.072601,-1.23782,NO,NO
0.8,FINO,8139.38,196.903,4074.3,104.191,1.99774,0.0703244,-2.35042,NO,NO
1,FINO,8692.25,203.174,4467.98,108.858,1.94546,0.0656849,-3.08005,SI,NO
2,GRUESO,7134.29,188.467,4411.3,108.096,1.61728,0.058274,-7.52004,SI,NO
3,GRUESO,5817.67,176.449,4238.05,107.387,1.37272,0.0542522,-11.0826,SI,SI
4,GRUESO,4739.5,166.026,4247.62,107.212,1.1158,0.0481761,-15.3916,SI,SI
5,GRUESO,3826.88,156.151,4218.15,106.873,0.90724,0.0435748,-19.1742,SI,SI
