Concentracion,Tipo,N_low,errN_low,N_high,errN_high,Q,errQ,Z_score,Detectable,Cuantificable
0,FINO,19186.9,302.809,10997.8,109.262,1.74461,0.0325349,0,NO,NO
0.2,FINO,9054.42,206.358,5222.54,75.3489,1.73372,0.0467648,-0.191235,NO,NO
0.4,FINO,8840.25,203.292,5218.6,75.2821,1.69399,0.0459857,-0.898696,NO,NO
0.6,FINO,8523.79,199.961,5208.6,75.2157,1.63648,0.045081,-1.94494,NO,NO
0.8,FINO,8139.38,196.903,5198.64,75.1223,1.56567,0.0441186,-3.26427,SI,NO
1,FINO,8692.25,203.174,5684.18,78.5864,1.5292,0.0415283,-4.08325,SI,NO
2,GRUESO,7134.29,188.467,5644.3,78.2541,1.26398,0.0377098,-9.65025,SI,NO
3,GRUESO,5817.67,176.449,5604.46,77.8944,1.03804,0.034632,-14.8698,SI,SI
4,GRUESO,4739.5,166.026,5542.5,77.4693,0.85512,0.0322515,-19.4165,SI,SI
5,GRUESO,3826.88,156.151,5469.5,76.9968,0.699675,0.0302007,-23.5392,SI,SI
